Code	SiteCode	biogeo	climate	lat	lon	alt	MMXT	MMNT	MNTM	EMXT	EMNT	TotalP	EMXP	dung	trap	BT	D	SR	ST
GJS-S-3	D_BR	Central European highlands	Dfb	49.91888889	11.58694444	400	23.2	11.1	17	32.7	6.7	62.7	17	S	T1b	0	4	0	0
GJS-S-4	D_BR	Central European highlands	Dfb	49.91888889	11.58694444	400	23.2	11.1	17	32.7	6.7	62.7	17	S	T1b	0	3	0	0
GJS-S-5	D_BR	Central European highlands	Dfb	49.91888889	11.58694444	400	23.2	11.1	17	32.7	6.7	62.7	17	S	T1b	0	1	0	0
GJS-S-6	D_BR	Central European highlands	Dfb	49.91888889	11.58694444	400	23.2	11.1	17	32.7	6.7	62.7	17	S	T1b	0	2	0	0
GN	D_BR	Central European highlands	Dfb	49.91888889	11.58694444	400	23.2	11.1	17	32.7	6.7	62.7	17	H	T1b	0	5	0	1
H_VAC_T1_C1	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.1	10.8	16.3	28.9	5.3	54.6	10.4	C	T1b	0	9	0	9
H_VAC_T1_C1	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.7	13.7	18.6	33.5	5.3	84.1	22.1	C	T1b	0	1	0	4
H_VAC_T1_C2	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.1	10.8	16.3	28.9	5.3	54.6	10.4	C	T1b	0	7	0	10
H_VAC_T1_C2	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.7	13.7	18.6	33.5	5.3	84.1	22.1	C	T1b	0	3	0	6
H_VAC_T1_C3	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.1	10.8	16.3	28.9	5.3	54.6	10.4	C	T1b	0	8	0	9
H_VAC_T1_C3	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.7	13.7	18.6	33.5	5.3	84.1	22.1	C	T1b	0	3	0	7
H_VAC_T1_C4	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.1	10.8	16.3	28.9	5.3	54.6	10.4	C	T1b	0	8	0	10
H_VAC_T1_C4	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.7	13.7	18.6	33.5	5.3	84.1	22.1	C	T1b	0	4	0	5
H_VAC_T1_C5	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.1	10.8	16.3	28.9	5.3	54.6	10.4	C	T1b	0	7	0	11
H_VAC_T1_C5	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.7	13.7	18.6	33.5	5.3	84.1	22.1	C	T1b	1	4	0	8
H_VAC_T1_C6	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.1	10.8	16.3	28.9	5.3	54.6	10.4	C	T1b	0	7	0	11
H_VAC_T1_C6	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.7	13.7	18.6	33.5	5.3	84.1	22.1	C	T1b	2	5	0	8
H_VAC_T1_H1	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.1	10.8	16.3	28.9	5.3	54.6	10.4	H	T1b	1	1	0	2
H_VAC_T1_H1	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.7	13.7	18.6	33.5	5.3	84.1	22.1	H	T1b	1	5	0	5
H_VAC_T1_H2	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.1	10.8	16.3	28.9	5.3	54.6	10.4	H	T1b	0	0	0	4
H_VAC_T1_H2	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.7	13.7	18.6	33.5	5.3	84.1	22.1	H	T1b	1	6	0	10
H_VAC_T1_H3	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.1	10.8	16.3	28.9	5.3	54.6	10.4	H	T1b	0	0	0	3
H_VAC_T1_H3	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.7	13.7	18.6	33.5	5.3	84.1	22.1	H	T1b	1	6	0	12
H_VAC_T1_H4	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.1	10.8	16.3	28.9	5.3	54.6	10.4	H	T1b	0	0	0	2
H_VAC_T1_H4	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.7	13.7	18.6	33.5	5.3	84.1	22.1	H	T1b	0	7	0	9
H_VAC_T1_H5	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.1	10.8	16.3	28.9	5.3	54.6	10.4	H	T1b	0	0	0	2
H_VAC_T1_H5	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.7	13.7	18.6	33.5	5.3	84.1	22.1	H	T1b	1	6	0	8
H_VAC_T1_H6	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.1	10.8	16.3	28.9	5.3	54.6	10.4	H	T1b	0	1	0	3
H_VAC_T1_H6	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.7	13.7	18.6	33.5	5.3	84.1	22.1	H	T1b	1	3	0	12
H_VAC_T1_S1	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.1	10.8	16.3	28.9	5.3	54.6	10.4	S	T1b	1	9	0	13
H_VAC_T1_S1	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.7	13.7	18.6	33.5	5.3	84.1	22.1	S	T1b	0	5	0	5
H_VAC_T1_S2	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.1	10.8	16.3	28.9	5.3	54.6	10.4	S	T1b	0	7	0	11
H_VAC_T1_S2	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.7	13.7	18.6	33.5	5.3	84.1	22.1	S	T1b	0	5	0	5
H_VAC_T1_S3	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.1	10.8	16.3	28.9	5.3	54.6	10.4	S	T1b	0	10	0	10
H_VAC_T1_S3	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.7	13.7	18.6	33.5	5.3	84.1	22.1	S	T1b	0	2	0	2
H_VAC_T1_S4	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.1	10.8	16.3	28.9	5.3	54.6	10.4	S	T1b	0	8	0	10
H_VAC_T1_S4	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.7	13.7	18.6	33.5	5.3	84.1	22.1	S	T1b	0	6	0	5
H_VAC_T1_S5	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.1	10.8	16.3	28.9	5.3	54.6	10.4	S	T1b	0	6	0	11
H_VAC_T1_S5	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.7	13.7	18.6	33.5	5.3	84.1	22.1	S	T1b	0	8	0	5
H_VAC_T1_S6	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.1	10.8	16.3	28.9	5.3	54.6	10.4	S	T1b	1	8	0	11
H_VAC_T1_S6	H_VAC	Middle European forests	Dfa	47.70583333	19.22972222	176	22.7	13.7	18.6	33.5	5.3	84.1	22.1	S	T1b	0	3	0	6
HG_T1_C1	H_BUG	Pannonian	Dfb	46.65638889	19.61944444	106	25.5	13	20.3	36.4	3.9	38.4	14.2	C	T1b	1	10	0	6
HG_T1_C1	H_BUG	Pannonian	Dfb	46.65638889	19.61944444	106	25.7	13	20.1	34.5	8.4	69.3	30.5	C	T1	0	0	0	2
HG_T1_C1	H_BUG	Pannonian	Dfb	46.65638889	19.61944444	106	26.8	13.4	20.4	31.5	7	21.1	11.4	C	T1b	1	8	0	9
HG_T1_C2	H_BUG	Pannonian	Dfb	46.65638889	19.61944444	106	25.5	13	20.3	36.4	3.9	38.4	14.2	C	T1b	4	13	0	7
HG_T1_C2	H_BUG	Pannonian	Dfb	46.65638889	19.61944444	106	25.7	13	20.1	34.5	8.4	69.3	30.5	C	T1	0	2	0	5
HG_T1_C2	H_BUG	Pannonian	Dfb	46.65638889	19.61944444	106	26.8	13.4	20.4	31.5	7	21.1	11.4	C	T1b	1	7	0	8
HG_T1_C3	H_BUG	Pannonian	Dfb	46.65638889	19.61944444	106	25.5	13	20.3	36.4	3.9	38.4	14.2	C	T1b	2	14	0	9
HG_T1_C3	H_BUG	Pannonian	Dfb	46.65638889	19.61944444	106	25.7	13	20.1	34.5	8.4	69.3	30.5	C	T1	1	2	0	6
HG_T1_C3	H_BUG	Pannonian	Dfb	46.65638889	19.61944444	106	26.8	13.4	20.4	31.5	7	21.1	11.4	C	T1b	1	8	0	7
HG_T1_C4	H_BUG	Pannonian	Dfb	46.65638889	19.61944444	106	25.5	13	20.3	36.4	3.9	38.4	14.2	C	T1b	2	14	0	11
