Code	SiteCode	biogeo	climate	start	year	lat	lon	alt	MMXT	MMNT	MNTM	EMXT	EMNT	TotalP	EMXP	dung	trap	BT	D	SR	ST
ZW_T5S3	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	S	T5	0	15	0	2
ZW_T5S4	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	S	T5	0	2	0	0
ZW_T5S4	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	S	T5	0	4	0	0
ZW_T5S5	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	S	T5	1	16	0	1
ZW_T5S5	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	S	T5	0	18	0	1
ZW_T5S6	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	S	T5	0	0	0	0
ZW_T5S6	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	S	T5	0	8	0	1
G_JM_T1_C1	D_BAV	Central European highlands	Dfb	August	2014	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	C	T1	0	0	0	0
G_JM_T1_C1	D_BAV	Central European highlands	Dfb	July	2015	48.83277778	13.39805556	1150	27.3	15.3	21.3	35	8.4	47.5	8.6	C	T1b	0	3	0	0
G_JM_T1_C2	D_BAV	Central European highlands	Dfb	August	2014	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	C	T1	0	1	0	0
G_JM_T1_C2	D_BAV	Central European highlands	Dfb	July	2015	48.83277778	13.39805556	1150	27.3	15.3	21.3	35	8.4	47.5	8.6	C	T1b	0	2	0	0
G_JM_T1_C3	D_BAV	Central European highlands	Dfb	August	2014	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	C	T1	2	0	0	0
G_JM_T1_C4	D_BAV	Central European highlands	Dfb	August	2014	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	C	T1	0	0	0	0
G_JM_T1_C4	D_BAV	Central European highlands	Dfb	July	2015	48.83277778	13.39805556	1150	27.3	15.3	21.3	35	8.4	47.5	8.6	C	T1b	6	1	0	0
G_JM_T1_C5	D_BAV	Central European highlands	Dfb	August	2014	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	C	T1	1	0	0	0
G_JM_T1_C5	D_BAV	Central European highlands	Dfb	July	2015	48.83277778	13.39805556	1150	27.3	15.3	21.3	35	8.4	47.5	8.6	C	T1b	3	0	0	0
